user_id,age,gender,location,income_level,favorite_categories,preferred_brands,price_sensitivity,avg_rating_given,purchase_frequency
32,28,F,tier1,low,"['Power Smart Quick Charging Pack For PAN CGR-DU-2...', 'Urban Girl Foundation Brush (Pack of 12)']","['Gathbandhan', 'Gasser', 'Suvarnadeep', 'PANIT']",high,3.6548110333859594,low
33,32,F,tier2,medium,['Style World Women Flats'],"['Osmonde', 'MODWARE', 'KARP', 'Jewelove']",medium,4.352018528990588,low
34,28,M,tier2,medium,"['Mast & Harbour Gold Synthetic  Clutch', ""TIMBERLAKE Slim Fit Fit Women's Red Jeans"", 'INVENTURE RETAIL Nail Cutter']",['Silvesto India'],medium,3.2556902088521675,medium
35,46,F,tier3,low,"['Bags, Wallets & Belts', 'Pu-Good Women Flats', 'Footwear']","['RED', 'Waama Jewels', 'Joyeria Milan', 'ELITE STATUES', 'Kerastase']",high,3.646825115857886,low
36,35,F,tier3,low,"['Dressberry Black Synthetic  Clutch', ""Ruhi's Creations Polyester Silk Blend Cartoon Ki...""]",['LIME'],high,4.015176500522628,low
37,38,F,tier2,low,['Amita Home Furnishing Cotton Floral Single Bedsh...'],"['Clublaptop', 'Lal Pet Products', 'Anshuhandicrafts', 'Funcart']",high,3.297993844005814,medium
38,47,F,metro,medium,"[""EASIES Solid Single Breasted Casual Men's Blazer"", 'SHOPOJ White Paper Sky Lantern (80 cm X 34 cm, P...']","['Handloomhub', 'Reebok', 'Desirica']",medium,2.9546653219199777,low
39,20,M,tier1,medium,"['ANAND ARCHIES Girls Flats', 'Walkline Slippers', 'Gaming']","['SHEFFIELD CLASSIC', 'HSFS', 'Shaun', 'Odoky']",medium,3.716265617027296,medium
40,21,M,tier3,medium,"[""Selfcare Women's Thong Panty (Pack of 3)"", 'NEWGEN TECH EO-HS3303 218 Wired Headset (White)']",[],medium,2.4716287652443736,low
41,23,M,tier1,medium,"['Wearable Smart Devices', ""Threads & Pals Full Sleeve Self Design Men's Swe..."", ""SUPERMOD Men's Brief""]","['Camy', 'ab posters', 'Stuffcool', 'Gehna']",medium,3.6135151146239894,high
42,18,M,tier1,low,"['Naaz Dart game Board Game', 'ATV Pouch for Acer Liquid Z330 (STEEL BLUE)']",['Think3'],high,3.566159501619071,medium
43,25,F,metro,low,"[""New Darling Women's Printed Top & Pyjama Set"", ""Kombee Girl's Printed Red, Pink Top & Capri Set""]",[],high,2.217776641491842,low
44,62,F,tier3,medium,"['Walkline Slippers', 'SAY UV Sterilizer Solid Filter Cartridge (0, Pac...']","['Karukraft', 'Camelion']",medium,3.2911137540778466,high
45,50,F,tier3,medium,"[""Yo Baby Girl's Trousers""]",['Apple'],medium,3.3650294597910655,low
46,43,F,tier2,medium,['Speedwav 240437 Sun Shade For Hyundai i10 (Dashb...'],['Kamakshi Krafts'],medium,3.920721927123326,medium
47,63,F,tier2,medium,"['SHOPOJ White Paper Sky Lantern (80 cm X 34 cm, P...', ""Disney Printed Baby Boy's Hooded Grey T-Shirt"", 'Joyra Heart Sterling Silver Swarovski Crystal, S...']","['TUP', 'Gigabyte', 'ABSTAR', 'Curren Nx']",medium,3.9382941321651157,high
48,18,F,tier3,medium,"['SJ Comet Zoom DPSI Binoculars (30 mm, Black)', 'Jazz Eyewears Over-sized Sunglasses', ""New Darling Women's Printed Top & Pyjama Set""]","['Bela Home', 'Shopo']",medium,4.098318329901656,low
49,55,F,tier1,medium,"['Knight Ace Kraasa Sports Running Shoes, Cycling ...', 'SHOPOJ Yellow Paper Sky Lantern (80 cm X 34 cm, ...', 'Synergy SFJB0105 Grocery Bag (Blue)']","['ChiragBelhi', 'Ocean', 'INDIANO']",medium,3.523545405648665,medium
50,42,M,tier2,high,['NEWGEN TECH EO-HS3303 58 Wired Headset (White)'],"['Khushi Fashions', 'diwine jewels', 'ABEEZ', 'Ibz', 'Raghav India']",low,3.1100391630897444,high
51,25,F,tier2,high,['Clothing'],"['Hedoneesta', 'Smart Wall Guru', 'Rang Rage']",low,2.6070885387814564,medium
52,28,M,tier2,low,"['Small Toes Bellies', 'Clovia Lingerie Set', 'Srajanaa sr114 Travel Shaving Kit (Black)']",[],high,2.036899971218543,medium
53,33,M,tier2,low,['Mobiles & Accessories'],"['Agromech', 'Amscan', 'Pack N Buy', 'Miracle Retail', 'Clublaptop']",high,2.6721743868230394,medium
54,57,M,tier3,high,"['Impala Alloy Cufflink (White)', 'Shrih SH-0192 Wired USB Flexible Keyboard (Red)']","['Eplant', 'KALYANI COVERING', 'Columbus', 'ETHICS']",low,4.314819639264781,medium
55,45,F,metro,low,"['BuildTrack PIR Wireless Motion Sensor - One Swit...', 'Autoplus M AP18 Arm Sleeve (Black)', ""Starsy Solid Women's Round Neck Green T-Shirt""]",['Light Brown'],high,3.1258041603792392,low
56,41,F,tier1,high,['Eternal Gandhi Super Series Crystal Paper Weight...'],"['HMO India', 'DIVAS CHOICE', 'Karigaari', 'Joola']",low,2.8902607037085946,high
57,51,F,tier2,low,"[""Selfcare Women's Thong Panty (Pack of 3)"", 'Royal Seal Creations 40 ST COLOR Silver Zircon N...', 'classyworld Brass Cufflink (Grey-02)']","['Silver Shoppee', 'Total Care']",high,4.477790970863116,low
58,31,F,tier3,medium,['Himmlisch 20503 Car Bottle Holder (Plastic)'],[],medium,2.0689119180566955,low
59,59,M,tier2,medium,['Sumo Baby Walker (Red)'],"['Powder Blue', 'Shiyara', 'Creative Spinach', 'Souminie', 'Craft Trade']",medium,4.483456360013735,medium
60,51,M,tier1,medium,['REMSON INDIA Women Flats'],['Bharatcraft'],medium,2.240329156156857,low
61,43,M,metro,low,['Glacier Running Shoes'],"['Avaron Projekt', 'Blinkin']",high,3.3144411964848404,high
62,47,F,tier3,low,"['Arial Morris Women Flats', ""Ajaero Slim Fit Women's Dark Blue Jeans""]","[""Victoria's Secret"", 'Craftatoz', 'Deben & Hill']",high,3.0630194349563373,low
63,38,F,metro,medium,['Just Wow Women Flats'],"['Shahi Handicraft', 'Ortel', 'Freshme Fashion Jewellery', 'Go Hooked', 'World-Star']",medium,4.330432860159676,low
64,36,F,tier1,high,"['Gaming', 'Dilan Jewels Alloy Zircon 18K Yellow Gold Bangle...']",['ABSTAR'],low,4.903274562811445,medium
65,61,F,tier3,medium,['Urban Girl Foundation Brush (Pack of 10)'],[],medium,3.038789680340425,medium
66,60,F,tier3,high,"['Speedwav 186879 Bajaj Pulsar 200 NS DTS-i LED In...', ""SMART DENIM Solid Women's White Denim Shorts"", 'Mobiles & Accessories']","['Baalaa', 'RAA', 'Gajraula Crafts', 'Theme Jewels']",low,3.0390213652522564,low
67,54,M,metro,low,"['Speedwav 216510 Manual Rear View Mirror (Right, ...']","['Weldecor', 'NIRLON', 'vency creation', '1OAK', 'Adiva']",high,3.2774908504578355,medium
68,33,F,metro,medium,"['classyworld Brass Cufflink (Silver-01)', ""Laser X Checkered Men's Boxer (Pack of 4)""]",[],medium,3.372383312103813,medium
69,30,M,tier1,medium,"['Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...', ""Miss Wow Slim Fit Women's Blue Jeans""]","['Tecnia', 'KuberBox']",medium,3.576703263812005,medium
70,22,F,tier3,high,"[""Leading lady Women's Camisole"", 'INKT INKT A5 Wiro Notebook A5 Notebook Ring Boun...', ""UFO Self Design Round Neck Casual Girl's Sweater""]",['Saffron Craft'],low,3.269713611355441,high
71,45,F,tier1,low,"['Adidas IND PRO THI GUA Thigh Guard (White, Blue,...', ""Disney Printed Baby Boy's Hooded Grey T-Shirt"", 'SJ Comet Zoom DPSI Binoculars (30 mm, Black)']","['Lavanaya', 'Sifty Collection', 'Peora']",high,4.554888292475531,medium
72,40,F,tier3,medium,['ANAND ARCHIES Girls Flats'],"['Baby Moshai', 'Manthan', ""Seema'S Craft Creation"", '720 Armour', 'GRJ India']",medium,3.9147655679387183,medium
73,60,F,metro,medium,['FEET FLOW Women Flats'],"['Homec', 'Mz Nova', 'fashion bazar']",medium,3.6768991201165715,medium
74,45,M,tier3,medium,"['Mast & Harbour Gold Synthetic  Clutch', ""Starsy Printed Women's Round Neck Black T-Shirt"", 'Jewellery']",[],medium,3.152450877962846,low
75,23,F,tier3,medium,"['eBooks', ""SMART DENIM Solid Women's White Denim Shorts"", ""MASARA Solid Women's Straight Kurta""]",['Red Chief'],medium,3.872719570763868,high
76,21,F,tier3,high,"['Urban Girl Foundation Brush (Pack of 10)', ""Breakbounce Men's Vest"", ""EASIES Solid Single Breasted Casual Men's Blazer""]","['Plus Value', 'TeeSort', 'Slim fit']",low,2.0452534253531462,medium
77,20,F,metro,low,"[""New Darling Women's Printed Top & Pyjama Set""]","['Vitalwalls', 'Blossom Berry', 'Nickolas']",high,3.991933951727042,medium
78,22,F,tier3,medium,"['SHOPOJ Yellow Paper Sky Lantern (80 cm X 34 cm, ...']","['Elegance', 'BILLYS']",medium,4.464161637601631,medium
79,24,F,tier1,low,"['V&G Professional HD-37 Hair Dryer (Red)', ""Kombee Girl's Printed Red, Pink Top & Capri Set"", 'Rasav Jewels Yellow Gold Diamond 18 K Ring']","['Shopernow', 'Synergy', 'GOGLE SOURCING', 'Ziveg']",high,4.2545821494317835,low
80,51,M,tier2,medium,"[""SUPERMOD Men's Brief""]","['vinaya', 'Kalai']",medium,2.928700659150787,medium
81,22,M,tier1,low,['Olvin Aviator Sunglasses'],"['Theme Jewels', 'Gigabyte', 'KA', 'KalaBhawan']",high,4.259225406196049,medium
82,42,F,tier1,medium,"[""e-Fresh Baby Boy's Brief (Pack of 10)"", 'Speedwav 216552 Manual Rear View Mirror (Right, ...', 'SMART TRADERS Women Flats']",[],medium,2.707196768697608,medium
83,48,M,tier3,low,"['Naaz Dart game Board Game', 'Clothing', 'INVENTURE RETAIL Nail Cutter']","['Gojeeva', 'Wella', 'Lavish Blink']",high,3.028173665967937,low
84,19,F,metro,medium,"['Wellon Fittings set (16 pieces) for RO Water Pur...', 'Sports & Fitness']",['Attitude'],medium,3.226871313014708,medium
85,42,F,tier2,medium,"['Computers', 'Speedwav 186136 Manual Rear View Mirror (Right, ...', ""Sisel Printed Poly Cotton Women's Stole""]","['Flazee Home Trends', 'Bergner']",medium,2.579730879890476,high
86,40,F,tier2,low,"[""United Colors of Benetton Girl's Trousers"", ""Legmark Slim Fit Women's Light Blue Jeans"", 'Lucky Thailand GL/ LG30 Glass (300 ml, Clear, Pa...']",[],high,4.562009795444983,medium
87,40,M,metro,medium,"[""piftif Women's Sports Bra"", 'SJ Barstel 56m / 1000m Binoculars (30 mm, Black)']",['KAVACi'],medium,4.5131758284480545,medium
88,62,M,metro,low,"['Jewellery', 'D&D Women Flats']","['JOVIFashion', 'Bento', 'RJVON', 'Clear Shield', 'Edel']",high,3.2747972674513863,low
89,37,F,tier2,low,"['Sports & Fitness', 'NEWGEN TECH EO-HS3303 58 Wired Headset (White)', 'Home Entertainment']",[],high,4.470545533456405,low
90,37,F,tier2,medium,"['GM Power mate 4 Strip Surge Protector (White)', 'SJ Comet Zoom DPSI Binoculars (30 mm, Black)', 'Lucky Thailand GL/ LG30 Glass (300 ml, Clear, Pa...']",[],medium,2.0541337491566836,medium
91,45,F,tier1,medium,"['Rasav Jewels Yellow Gold Diamond 18 K Ring', 'Home & Kitchen']",['Toygully'],medium,3.558903760555734,high
92,30,M,tier2,medium,['Mast & Harbour Black Synthetic  Clutch'],"['LukLuck', 'Lip Rageous', 'Geol', 'Daxter', 'the jewelbox']",medium,3.660749197975033,medium
93,19,M,tier2,medium,"['Kraft Seeds Rosemary Herb (Pack Of 5) Seed (75 p...', 'SMART TRADERS Girls Bellies', 'Crafty Hands Kutchchi Mirrorwork Tapestry (Maroon)']",[],medium,5.0,low
94,54,M,tier2,medium,"['Tools & Hardware', 'SHOPOJ White Paper Sky Lantern (80 cm X 34 cm, P...']",[],medium,2.7150405583324178,medium
95,38,M,metro,low,['Srajanaa sr114 Travel Shaving Kit (Black)'],"['Fashion Era', 'Techno TrendZ', 'imitzworld', 'Trudeau']",high,3.860896805312274,low
96,38,F,tier2,low,"['Eternal Gandhi Super Series Crystal Paper Weight...', 'SMART TRADERS Women Wedges', ""Sisel Printed Poly Cotton Women's Stole""]",['G-Luck'],high,3.540054315996144,high
97,44,M,tier1,low,['INDILEGO Women Flats'],"['Tucasa', 'Vector X', 'Britex', 'Femme Couture']",high,3.4285615584574365,medium
98,40,F,tier2,medium,"['SJ Barstel 56m / 1000m Binoculars (30 mm, Black)', 'Glacier Running Shoes']","['Bhavika', 'TeeSort']",medium,2.200388008037916,medium
99,54,F,tier3,medium,"[""The Cotton Company Solid Women's Polo Neck Pink ...""]","['Anuze Fashions', 'Fashiondeal', 'Futaba', 'nayasa', 'next steps']",medium,4.325607980244679,medium
100,62,F,metro,low,"['Autoplus M AP15 Arm Sleeve (Black)', 'Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...', 'Home Furnishing']","['Spe', 'Gift Studios']",high,2.6145394404674316,low
101,53,M,tier1,high,['Abhinl Fashion Cotton Printed Semi-stitched Salw...'],['KANCHOO'],low,2.799034352155597,low
102,55,M,tier1,low,"[""LondonHouze Printed Women's Round Neck Grey T-Shirt""]","['RANGSUTRA', 'IESD', 'Mynte']",high,2.2201715367404855,high
103,27,F,metro,medium,"[""Camey Men's Quarter Length Socks"", 'Linzina Fashions LIN-HOSS-1.5 Faucet Set', 'Samprada Modern art Tapestry (Black, Pink)']","['Phototech', 'Delberto', 'Fashion Infinite']",medium,4.44177953907944,high
104,60,M,tier3,high,"['Anuradha Art Stylish Hair Clip (Black)', ""Noor Embroidered Women's Straight Kurta"", 'Pu-Good Women Flats']",['asa products'],low,3.4036114088589455,low
105,35,F,metro,low,"['Shonaya Printed Bhagalpuri Art Silk Sari', 'ATV Pouch for Acer Liquid Z330 (STEEL BLUE)', 'Carbanao Chrome Grill Chevrolet Cruze Car Grill ...']",['Anshul fashion'],high,2.7536415479273497,medium
106,58,M,metro,low,"[""Be 13 Printed Boy's Round Neck T-Shirt (Pack of 2)""]","['OutMad', 'RYTHMX', 'Deben & Hill']",high,4.9046633409020925,low
107,34,F,tier3,medium,"[""Vishudh Printed Women's Anarkali Kurta"", 'Sugandh Vatika 24 Natural Masala, Sandal Incense...']","['Pulse Audio', 'Creez', 'Ndura']",medium,4.0418641090746945,high
108,35,M,tier2,high,"['BuildTrack PIR Wireless Motion Sensor - One Swit...', 'SAY UV Sterilizer Solid Filter Cartridge (0, Pac...', ""UFO Full Sleeve Solid Girl's Jacket""]","['Needhi', 'BrandMeUp', 'Zyaden', 'Victor']",low,1.8444527160304836,high
109,44,M,tier3,low,['Zevrr Sterling Silver Swarovski Zirconia Platinu...'],[],high,3.73250483843798,low
110,40,M,tier3,high,"['Cellbazaar Blackberry 8520 WHITE LCD LCD (YIT-562)', ""ANASAZI Casual 3/4 Sleeve Solid Women's Top"", 'Shonaya Printed Bhagalpuri Art Silk Sari']",['Jack Martin'],low,3.7711136683711213,low
111,42,F,metro,high,"[""piftif Women's Sports Bra""]",['Nine Maternity Wear'],low,3.834537032773466,medium
112,35,F,metro,medium,['INKT INKT A5 Wiro Notebook A5 Notebook Ring Boun...'],['Indidecor'],medium,2.350280452895082,high
113,24,M,tier1,low,"['Olvin Wayfarer Sunglasses', 'Urban Girl Foundation Brush (Pack of 12)']","['sharp n style', 'WOAP', 'Raymond', 'soie', 'Seher']",high,4.3647553257178355,high
114,42,M,tier1,low,"['Olvin Rectangular Sunglasses', ""Fly U Slim Fit Fit Women's Brown Jeans"", 'ANAND ARCHIES Girls Wedges']","['VES', 'Eternity', 'Amadore', 'Vheelocityin', 'Ultra']",high,4.5129635787581295,low
115,44,F,tier1,low,"['Anuradha Art Stylish Hair Clip (Blue)', 'Remax Rm-10000 Remax Vanguard 10000mah 10000 mAh...']","['Craft And Curtain', 'Kanch Mall', 'Opaleena', 'Sahara Q Shop', 'Look-Kool']",high,3.4066452593505523,low
116,49,M,metro,high,"[""fourgee Slim Fit Women's Blue Jeans""]",['Blanket Zone'],low,3.796363636830599,medium
117,29,F,metro,medium,"['SJ Bushnell 122/1000M Binoculars (36 mm, Black)']","['Coash', 'Earth Ro System', 'Sapatos']",medium,2.3777166530894247,medium
118,49,M,tier3,low,"['Joyra Heart Sterling Silver Swarovski Crystal, S...', ""killys Men's Solid No Show Socks""]","['TRINK', 'Aapti', 'Laadli Boutique', 'AirFlow', 'Indian Swan']",high,3.790449330067988,low
119,37,M,metro,low,['Watches'],"['SOS', 'Max']",high,2.283348152083095,low
120,38,F,tier3,medium,"['Koie  Battery - For Samsung 7562 Premium Quality...', 'JUSF2 Black Color Hair Band (Multicolor)', 'Mobiles & Accessories']","['Tenda', 'Go Hooked']",medium,3.9285248218465574,high
121,61,F,metro,medium,"['Mobiles & Accessories', 'Clickforsign Vehicles parked Illegally will be t...']","['Comfort Couch', 'Ocean']",medium,3.6405165489568247,medium
122,21,M,tier3,medium,"['Jewellery', 'Gking Hand Stiched Steering Cover For Renault Sc...']","['Grafion', 'Toyto', 'Lakos', 'JaipurCrafts', 'Airwind']",medium,3.747794439722091,medium
123,49,M,tier3,medium,"['Baby Care', 'Linzina Fashions LIN-HOSS-1.5 Faucet Set', ""Starsy Printed Women's Round Neck Black T-Shirt""]","['Star Metal', 'Urban Monk Creations', 'Philigree', 'Jaypee Kukeezi']",medium,4.368111098064553,medium
124,22,F,tier3,low,"['Zikrak Exim Women Wedges', 'classyworld Brass Cufflink (Silver-01)']",['Spangle'],high,3.4340017931303923,low
125,20,F,tier2,medium,"[""Clovia Women's Full Coverage Bra""]","['Abhinl Fashion', 'Sapphire Diaries', 'Leopard Print', 'Kazo', 'World-Star']",medium,3.7108726275774,medium
126,37,F,tier1,medium,['Clovia Lingerie Set'],['Khadi Herbal'],medium,3.6120825615534904,high
127,50,F,tier2,medium,"[""Vinenzia Printed Winter Men's Gloves"", 'Eyewear']",['LukLuck'],medium,2.692073206441748,medium
128,62,F,tier3,medium,"['Himmlisch 20503 Car Bottle Holder (Plastic)', 'Naaz Dart game Board Game']","['Lava', 'Ziveg']",medium,3.889314379163111,high
129,25,M,tier1,medium,"['Tools & Hardware', 'Prime Printed 8 Seater Table Cover (Multicolor, ...', ""Viral Girl Women's Full Coverage Bra""]","['Grey & White', 'Toto Link', 'PUSHCART', 'Singh Xpress']",medium,4.113663656642893,medium
130,33,F,tier1,low,"[""ANASAZI Casual 3/4 Sleeve Solid Women's Top"", 'SMART TRADERS Women Flats', 'Jazz Eyewears Over-sized Sunglasses']","['V-AARCI', 'Rehoboth']",high,2.740980690184626,medium
131,36,F,tier1,medium,"[""Yo Baby Girl's Trousers"", 'Sonaxo Men Running Shoes', ""Oly Two Fit Fit Women's Black Jeans""]",['SViRU'],medium,4.337001266658827,low
132,64,M,tier3,low,['Anuradha Art Stylish Hair Clip (Blue)'],"['Leather chief', 'Fs Mini Klub', 'ARMOIRE', 'AAO+', 'Fashionvalley']",high,4.489197861283072,low
133,43,M,metro,medium,"[""e-Fresh Baby Boy's Brief (Pack of 10)"", 'Impala Alloy Cufflink (White)', ""Be 13 Printed Boy's Round Neck T-Shirt (Pack of 2)""]",['GB Jewellery'],medium,3.575842954219458,high
134,63,F,tier1,low,"['D&D Women Flats', 'clickforsign Avoid Contanimation Wash your Hands...']",['Aria'],high,3.5862697135078667,medium
135,62,M,tier1,medium,"['Carbanao Chrome Grill Chevrolet Cruze Car Grill ...', 'Tools & Hardware']","['Furst', 'Total Agency']",medium,3.2195395888776663,medium
136,33,F,tier1,medium,['Speedwav 240437 Sun Shade For Hyundai i10 (Dashb...'],[],medium,4.043801376727593,medium
137,47,F,tier1,low,['Jazz Eyewears Over-sized Sunglasses'],"['REAL', 'Urdiva Fashions', 'Smghut']",high,4.059706133982748,low
138,64,F,tier1,low,"['Small Toes Bellies', 'Home Entertainment']","['Robotel', 'Indiatrendzs', 'Sitare', 'Lodge', 'IndoSurgicals']",high,2.8363740749551285,low
139,26,F,tier3,low,"['Nut Khut Embroidered Kurta & Churidar', 'ABEEZ Boys, Men, Girls (Black, Pack of 1)', 'Taurus Black & white Lace Up']",['720 Armour'],high,2.6485058983297898,medium
140,28,M,tier1,low,['Frabjous German silver Rings For Women Alloy Zir...'],[],high,1.87986417829931,high
141,53,F,tier2,medium,"[""Laser X Checkered Men's Boxer (Pack of 4)"", 'ANAND ARCHIES Girls Wedges']","['CarSizzler', 'Task Logistics', 'RaSav Jewels', 'Libas', 'Com-Paint']",medium,3.6688577118139114,high
142,44,F,metro,medium,"['Speedwav 240437 Sun Shade For Hyundai i10 (Dashb...', ""Little Stars Girl's A-line Multicolor Dress""]","['PeepalComm', 'Sparkle Street', 'Jiya Fashion Pretties', 'Joyeria Milan']",medium,3.764017018965236,low
143,35,M,tier1,low,['Kraft Seeds Rosemary Herb (Pack Of 5) Seed (75 p...'],"['Wise Pebble', 'Swethamber Arts', 'Mod-Inn']",high,4.4295700245145895,medium
144,32,M,tier2,low,"[""Vishudh Printed Women's Anarkali Kurta"", 'NEWGEN TECH EO-HS3303 179 Wired Headset (White)']","['Klaur Melbourne', 'Filink', 'Libas', 'Karp']",high,3.1260996595807518,low
145,39,F,tier2,low,"[""Little Stars Girl's A-line Multicolor Dress"", 'Kraft Seeds Rosemary Herb (Pack Of 5) Seed (75 p...', 'Eternal Gandhi Super Series Crystal Paper Weight...']","['Schneider', 'Clench', 'Ankita', 'Sheetal Jewellery', 'Onlinemaniya']",high,4.229710027825144,low
146,35,M,tier1,low,['NEWGEN TECH EO-HS3303 58 Wired Headset (White)'],"['JANKI JEWELLERS', 'LUV']",high,4.947573000287873,high
147,31,M,metro,low,"['Bags, Wallets & Belts']",['Sparkle Street'],high,2.5388105073625815,medium
